key,message,Final Category
43,#flip kart No Flipkart No #Amazon,voucher
44,hey,greeting
45,hi when you will update amazon in rewards menu?,more reward options
46,hii,greeting
47,hi when will u give Amazon or flipkart vouchers? do u have customer support number?,more reward options
48,hi till now i have not received my gift? voucher or pen,voucher
49,vouchers issued are not valid and ther are showing as ALREADY USED,voucher not working
50,#Address I redeem 299 points for MGURU EAR PHONE .Request is accepted but shipping address is error it seems For shipping address in alert I saw #Address to enter address in chat,other
51,"hi the coupon wh you sent me, its saying already reedemed else give me amazon coupons.",voucher not working
52,hi,greeting
53,hi l had redeamed my points before 7 days and i didn't receive any coupons yet. thank u,voucher
54,hii this spanda spandan hi maya,greeting
55,"its being more than 24 working hours, my 249+20 points not yet credited ?????! ???",other
56,Hi bounty team.. I was used my corrent registered number long back.. But i was lost that number.. Now all the OTP r send to that number only. I'm having more then 500 points voucher and 380 points in my account.. I tried to make voucher that asking OTP. All OTPs are send to that number only.. Can you tell me any procedure to change registered mobile number.. Or how to open new account in already registered email..,other
57,Hi anyone tgere There*,greeting
58,Its already 15 days after ardering. . Again 7-9 days more ???,voucher
59,hello I didn't gt the extra points which u have told that I'll get along with my point Fir which I have redeemed the points contact as soon as possible,other
60,"hi redemption choices are changing to day today? previously flipkart, bata etc are there in redemption choices,",more reward options
61,hi,greeting
62,good morning Praveen i need Amazon gift voucher,voucher
63,hellooo bounty executive...where is my reward sir??? very good evening ok how long it may takes ?,voucher
64,i have not received a gift voucher that i had requested for but there was a message from Bounty's side saying the delivery address needs to be given again voucher,voucher
65,how many days it takes to reach?? Hi.. my mguru head phones..when 'll it reach?? it's been more than a month??,voucher
66,hello some one there i have redeemed my reward points to mguru heqdset,voucher
67,hi HI Maya i ordered shoes with bounty points can U please check the status of that order. i want to now the status of my order Ok.thank you,voucher
68,how to book the bookmyshow tickets i have a 150 above points in previously i am easily redeem the points easily but present there is no option on book my show .please help me,more reward options
69,ok,noclass
70,recently have not seen any vouchers like Amazon and flipkart..will it come?,more reward options
71,now i got chat alert :( promo code issue,referral points
72,hi,greeting
73,"Hi wer I can see the notification, to check the code for redemption",other
74,"hi i got amazon voucher, but i when I used it is showing as the voucher is already redeemed i already got it",voucher not working
75,It's pending from March check it properly wen you have credited it ?,other
76,Hi can you please help me know how to update my postal address i need to update my postal address to get the product delivered,other
77,i have not received my order ok thank you,voucher
78,hello,greeting
79,hello anybody here i want giftcard card there is no gift card on the menu,more reward options
80,give in my amazon vouture #Amazon #Flipkart Amazon,voucher
81,#3 rt plaza 80 ft road rt nagar opp to fm silks- 560032,other
82,Aurelia #3 rt plaza 80 ft road rt nagar opp to fm silks near post office ph 9060664758 pin 560032 sry phn num 9060664759 k thanks.. Booked a head set still not at all recieved,other
83,"Hi i have redeemed 399 points for a pack of Adidas socks pack.but till now i haven't received any shipping update.kindly make it ASAP. hi Maya, I am supposed to get a pack of shocks",voucher
84,Hi i order a hearphones set u send me track no also But u sended me a wrong  track code,voucher
85,hi i have apllied 4 amazon coupons but yhey have been rejected and points added back from the four amazon 3 coupons are rejected and what about the fourth one,voucher
86,I used my 500 bounty points for PVR voucher about a month ago and since then whenever i'am trying to use it i'am geting the error that the voucher has expired.today is the last day of validity. What am I suppose to do now.stop fooling people with your fake used voucher. I used my 500 bounty points for PVR voucher about a month ago and since then whenever i'am trying to use it i'am geting the error that the voucher has expired.today is the last day of validity. What am I suppose to do now.stop fooling people with your fake used voucher.,voucher not working
87,i got a fake used voucher thats what i know... should i send the screen shot here only yes alright thank you..,voucher not working
88,haii anybody there??,greeting
89,"#Address #Address #Address
Naveen Kumar,
No: 21, Sunrise Colony, 
2nd Cross Street, Near CIL Layout,
Cholanayakanahalli, RT Nagar Post,
Bangalore - 560032
Mobile: +91 98848 19933",other
90,good morning,greeting
91,"hi.. the Amazon voucher code i received is not a valid one.. when i try to redeem, it says ""The coupon is already redeemed."" Can you send me a correct one again? thanks.. today is the last day for the invalid voucher i have",voucher not working
92,can we use bounty points for deals nearby?,other
93,"Are u guys planning to give the headphone or not?? It's approximately a month, I redeem the points for a headfone",voucher
94,hi,greeting
95,hello please return my points thankyou,other
96,Hello Hello okay,greeting
97,hi..i had ordered for 3 pairs of socks last week...when will i get it n how to trace it?,voucher
98,hi hi plee,greeting
99,"bounty doesnt notify me when i am at the places showed in the app i even tried opening the app,it also is not working",checkin
100,hii i want to know how to redeem points for any online shopping?,other
101,he redeem,noclass
102,hi how will i get my book its already updated,voucher
103,"on 23rd i spent 4800 in adyar anand bhavan bhasham circle and took photo, can i get any points for the sane. ok, what the last two days back spent, do i get any points.",snapbill
104,hi hi maya i got msg like we can rewards ur point,noclass
105,hi team,greeting
106,hi i want you to refund my 100 points.,other
107,#Flipkart No,voucher
108,sir i want to redeem amzon vocher...plz give me amazon option on the screen,more reward options
109,im unavailable to get selfi stick,voucher
110,i have not get redeem code thank u so much,other
111,i am refering to my frnds but am not getting any points why i am not earing coins even i refer,referral points
112,haiii k...how i can redeem my points i have 100 points and i want redeem vochar....,other
113,hello,greeting
114,i had requested for an amazon voucher but the voucher i have received is a used one i had asked for the voucher a month ago,voucher
115,do you have any coupons for bounty points??,other
116,hi team am nt gtng any points from 3 days today mrng i updated,checkin
117,hii i need yo know when will i get my reward of 300 points,other
118,Hi this is kranthi I have 250 points in my account how can I do shopping with this amount please let me know how it is useful to me,other
119,hai when will Amazon coupons will be added???,more reward options
120,hi,greeting
121,Sir idont gets coins regularly what happend,checkin
122,hiii bounty why my phone is unable to detect the location no points are being awarded to me ok,checkin
123,Hi,greeting
124,how to change moblie number ?becuase registered number is dead now.,other
125,hi i shared using invite and earn and my friend installed bounty but i didn't got pointa points,referral points
126,how to change mobile number,other
127,i have not got my rewarda as i have entered my friends referral coupon okk,referral points
128,how to add bill credits?,other
129,hii can i get amazon coupon okeyy,more reward options
130,how to get point .my frnd refer to me this app,referral points
131,tq same t u,thanks
132,hi when i going verify my mobile number it saying like someone mars using,other
133,"hi this is sonesh I downloaded the app now,",noclass
134,how to add bounty check in places to a restaurant kk,noclass
135,test test,noclass
136,I didn't get any response from you people after redemption of 100 points,voucher
137,I already updated my bounty app what about my redeemed \0 100 points for recharge,voucher
138,exactly one month completed i am Requested but coupon cide not give to me,voucher
139,hi i am facing a problem with bookmyshow voucher,voucher not working
140,"i couldn't redeem my bookmyshow voucher, it says the voucher is",voucher not working
141,hi ok,noclass
142,i requested for rs100 free recharge voucher points have been deducted and still voucher is not issued i did tjis on 13th feb,voucher
143,hello? ohh,greeting
144,hi i still did not received my flipkart e-voucher,voucher
145,Hi i still didn't get my Flipkart voucher,voucher
146,Hi ok,noclass
147,why i am not getting any check in after the update anyone thr,checkin
148,anyone thr hi,greeting
149,hii,greeting
150,hii,greeting
151,cant you check which bounty places is not working . i think in this application some bugs are there because this happens to all the bounty hunter including me. this is some serious issue. if we go to the partner place and still not receiving any bounty then there is a problem in the application. earlier i used to get bounty on daily basis. from last 20 days i am not receiving any thing even though i have updated to all lastest version,checkin
152,hi hi,greeting
153,hii hi yes i have been there,noclass
154,hi is there any logout option in bouny bounty,other
155,now a days no points,checkin
156,hi,greeting
157,hi k,greeting
158,hello it has been about a month and it was the same answer given evry tym hello wts this response,voucher
159,Hi I have not yet received my reedem,voucher
160,hi i haven't received my coupon,voucher
161,hi,greeting
162,haven't received my gift vouchers still :( ok and what about my Amazon vouchers?,voucher
163,"hi, haven't yet received this voucher https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzUzNzU5ODYyNzc5ODA=.png",voucher
164,"hi..I've redeemed gift vouchers for Amazon and mobile recharge, haven't received any of them",voucher
165,"Please send flipkart voucher, I don't need an ebay voucher",voucher
166,hi..this is just to confirm if I'll surely receive my vouchers today?,voucher
167,"you promised to send me my flipkart gift voucher today, I haven't received it still.",voucher
168,"hi, when will I receive my flipkart gift voucher? you promised to send it today",voucher
169,can I expect a reply?,other
170,send me an Amazon or flipkart gift voucher if your facing issues with mobile recharge https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzcxMjQxNDkzMjc5ODA=.png,voucher
171,good morning :) will I get my flipkart gift voucher today?,voucher
172,"hi, will I get my flipkart gift voucher today?",voucher
173,when will I receive it?,voucher
174,hello when will I receive it?,voucher
175,"I've been patient and it's Monday today, when will I receive my gift voucher",voucher
176,when will I receive the gift voucher?,voucher
177,"Good morning :) I do not receive bounty notifications, the app doesn't auto trigger even when I'm at a bounty partner place, please help me out :)",checkin
178,"Good morning :) , I do not receive bounty notifications, the app doesn't auto trigger even when I'm at a bounty partner place, please help me out :)",checkin
179,its almost a month since i requested for redemption! !! still i haven't get my recharge code??? how long? ???,voucher
180,i was need of the freecharfg *i was in need of freecharge voucher!!! how long it may take??????,voucher
181,hi Bouny team,greeting
182,good afternoon my name is Jayaprakash from Bangalore,greeting
183,9738358536 is my mobile number ple call me,noclass
184,hi i have registered a complaint regarding my bounty reward,checkin
185,I am not getting bounty zones,checkin
186,I am not getting bounty zones from 1month https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzQ5MjE0OTk0NTc5ODU=.png https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzQ5MjE4MjI0OTc5ODU=.png,checkin
187,I am getting 2points only,points
188,I have snap a bill but I did not get rewards I am getting only 2points for checking I am not getting 10points for checkin,snapbill
189,I had snapped a bill yesterday I did not get rewards time is mentioned there we mentioned the date,snapbill
190,dont sendd msgg dont  sendddd msgggg plz im getting so distapence,noclass
191,haaaaaa dont send me msgggg last time,noclass
192,hi i want to change my number,other
193,hi i want to change my nbr current nbr 7396637179,other
194,hi,greeting
195,hi im not geting bountry points,checkin
196,when my reward points will get i had sent the request last month of feb 6th im not getting any alerts wen i visit restaurant and other bounty partners,checkin
197,hi Recently I'm not recieving notifications,checkin
198,hi https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzQ5NDcwODMxNTc5OTI=.png i haven't received any of the three vochers,voucher
199,kk,noclass
200,test,noclass
201,hi hi ok,noclass
202,"https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzQ5NjQ2NzM1Mzc5OTQ=.png requested for 4 flipkart vouchers 1 month back, no response till now",voucher
203,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzYxMTc2MjYzNjc5OTQ=.png getting notifications again again even after turning off data,checkin
204,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzYwMTY4MzkwNzc5OTQ=.png getting this notifications many times,checkin
205,hi,greeting
206,points not credits even im in bounty area,checkin
207,I hav redeemed for flipkart gv on 8th Feb till now I didn't receive it,voucher
208,I have redeemed for flipkart gv on 8 th Feb but till now I didn't receive it. whenever I raised a complaint u people said that within two days u Wil send gv. but till now I didn't receive it. I have never seen such a worst customer service,voucher
209,I hav redeemed for flipkart gv on 8th Feb till now I didn't receive it till now.whenever I raised complaint u people said within two days u Wil send gv.but I didn't get it till now. I think this is worst customer service I have ever seen,voucher
210,"Hi... I have applied for a Flipkart Voucher. I haven't received yet.Can you tell when can I receive that ?? Yeah.Ok,Sure",voucher
211,gi,greeting
212,hello where is my coupon sandeep is there shit,voucher
213,hi where is my coupon i have applied for 100 points on Amazon,voucher
214,today i got only 2point for checked in... why?,points
215,yesterday i got only 2 point for checked in... why?,points
216,hi,greeting
217,hi Okay,noclass
218,hi,greeting
219,hi.. i had redeemed my bounty points. its been two weeks. i haven't heard anything so far. can you please check once?,voucher
220,hi y there is no mobile recharge redeem?,more reward options
221,I have not received my flipkart voucher 10 days over,voucher
222,I am using only latest and updated app only please send me the gv,voucher
223,"till now I have not received my gift voucher, please send me the gv",voucher
224,hey,greeting
225,"Hey, shreesh from appsmonk testing..",noclass
226,shreesh from appsmonk testing,noclass
227,hi Nice feature.  Liked the chat.  But y so stingy with points these days.,points
228,Hey I have a problem regarding the voucher redeeming,voucher
229,hi how can I recharge hello,more reward options
230,I am not getting points from 3 week,checkin
231,hi i did not get the vouchers of amazon as of now,voucher
232,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1Nzg3MjgyNTAyNTgwMTg=.png hi ... https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1Nzg3Mjg1MDAwODgwMTg=.png,noclass
233,hi I redeemed my points for Flipkart voucher I did not receive it,voucher
234,hi tean team I have redeem my 300 points last month,voucher
235,wht abt the 50 points?Does auto checkin mean partner palces visit,points
236,hi Gm i have not received my reward points?,checkin
237,hi hi now days not locating,checkin
238,hi i don't have received bounty rewards,checkin
239,hi i don't have received bounty rewards,checkin
240,i am not receiving any points are not added since 1 month,checkin
241,hi,greeting
242,hiiii my name is Arthur Martin can u please let me know y i am not getting the gift coupon???,voucher
243,hi i have not received the voucher i requested for an Amazon voucher,voucher
244,hi i hv 2 pending redimtions 1 st im getting problem with notification,voucher
245,i have 2 reddemtion pending,voucher
246,hi when i am scanning code its saying something went wrong i am not able to get points,other
247,i have redeemed a 500/- amazon coupon on 10-feb. still i dint get coupon but points been locked it is almost a month,voucher
248,hello,greeting
249,hi,greeting
250,i requested to redeem 300 rs for book my show but i didnt recive.it,voucher
251,hi,greeting
252,hey testing from appsmonk em getting the push yes,noclass
253,hi im new to bounty . wanted to know what is the min points i need to redeam awesom.. thanku. :-),other
254,I have sent flipcart 100 Rs gift redeem request but it not came,voucher
255,hi,greeting
256,hi,greeting
257,hi wassup,greeting
258,hi hi,greeting
259,hey,greeting
260,hey m not getting points for qc scanning...it's says that kotwal says outside someting plz help https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzU5MzE2OTA2MDgwNTM=.png,other
261,u der,greeting
262,hii,greeting
263,Am not getting check in ,checkin
264,why my app doesnt show snap bill option app is updated already,snapbill
265,what happen why m nt receving daily check in am also using updated app,checkin
266,Hi,greeting
267,hi hi,greeting
268,hi my points are not coming can u help me,checkin
269,hi,greeting
270,hey why don't you accept bills which i upload.  i always take a fresh bill and upload,snapbill
271,"hi i applied for 3 coupans with amazon on 25,26th and27th still i didnt get the coupons all 3 coupons?",voucher
272,hi team,greeting
273,hi team hello,greeting
274,hello I applied a code last one month back till now I did not get any code,voucher
275,hi Hi,greeting
276,Hello Team jjjjj,greeting
277,Hi Team my check in place were not working  yesterday I had buffet in ur bounty zone but check in was not access the place and i saw several times this kind of problem,checkin
278,hiiiI my wallet 10 piont  but some day my point not incremet,points
279,hlw hello,greeting
280,"hello hello i redeemed a recharge coupon long back nearly a month, till nw i didnt received the code...",voucher
281,"hello for me in rewards there is no option of recharge, can you help on this.",more reward options
282,OK thanks for response,thanks
283,thx,thanks
284,"hello, i have redeem few point but still i didnt receive my coupon its been more then a month",voucher
285,"i was told that yesterday i will receive flipkart coupons, but still i didnt",voucher
286,hello,greeting
287,"hello, i have applied for coupon on 18th Feb of flipkart, still i didn't receive akhand you there?",voucher
288,hello hai ok i will wait,greeting
289,hai,greeting
290,hlo,greeting
291,hiee,greeting
292,hi,greeting
293,hello till now i did not receive by coupons,voucher
294,hi hi can u able to receive my text?,greeting
295,Hi,greeting
296,"Hello there, I wanted to enquire as to when the currency vouchers are available for redemption Yes, sir. In referring to the same",more reward options
297,i already visited but i cannt get kfc panjagutta,checkin
298,i can get bounty checkin,checkin
299,hy h r u,greeting
300,thank you,thanks
301,hello! sandeep hi whats wrong with your app,noclass
302,gift cards for Mobile recharge has been removed Now,more reward options
303,i redeemed my points on 7th feb i didn't receive my gift voucher please verify it kk,voucher
304,when I will ? just i want recharge,voucher
305,hi Till now my request is not completed I requested 7 Feb 2016,voucher
306,can i combine others point and mine Good afternoon Good afternoon,noclass
307,"I refer my friend, he is use my refer promo code during installation. But I did not get my refer(50) point. Please add 50 point in my bounty account.",referral points
308,"my friend visit many time the partner place, but still referral ponit is not credited in my account.",referral points
309,yesterday i have snap the bill of ayodhya hotel in malleshwaram but i didn't get points. may i know the reason,snapbill
310,hello can i expect a reply form from* you,greeting
311,hi anyone there,greeting
312,hi I have redemmed my points 2mnths baq bt nt yet got my voucher I hd sent email bt no respond,voucher
313,wt abt amazon? well... alternative can yu plz gimme amozon voucher cn I gt a rply plz,voucher
314,it's been 2 days .. I dint get my voucher,voucher
315,hi,greeting
316,thanks k,thanks
317,hi,greeting
318,"Hi okay, actually I given redeem request on 1st February, still I didnt receive the cashback. Please check the issue. Thank you.",voucher
319,the qr code dosent get scanned it shows invalid what we have to do for it,other
320,konankunte,noclass
321,hi.. i have requested redeem for Rs.100/- on 24 feb 2016..,voucher
322,hi i didnt get upto now i applied for amazon coupon on 15 feb,voucher
323,hi i redeemed 100rs freecharge code on 6th February but still i didn't receive any coupon can u please tell me when you are going to send me the freecharge coupon can u provide flipkart coupon code thank you,voucher
324,i still i am not received any voucher from flipkart u said two days back only it will send but still not send the voucher,voucher
325,can anyone reply,greeting
326,my no is showing some one using it from mars,other
327,hi waiting for alerts,checkin
328,ok k,noclass
329,hi i am not getting any checkin's since 4 to 5 months,checkin
330,hi anyone there? Hello?,greeting
331,hi Anyone here to help me,greeting
332,hi,greeting
333,hi,greeting
334,i dont get bounty notifications even though I'm in bounty area .why?,checkin
335,is your company exist or,noclass
336,i didn't get 400 points which i redeem.. 100rs on February 8th and 300rs on February 26th... you der??? can anyone reply,voucher
337,yes send ebay voucher only I'm waiting for your reply send ebay voucher of same amount,voucher
338,the voucher what i got for book my show is already used...,voucher not working
339,hello guys 300 points which i used in BookMyShow.. i got used voucher please send me the proper voucher,voucher not working
340,hello reply... i spent my 400 points in February what i got is used 300rs coupon for book my show will i get my points back or coupon now a days I'm not getting points,voucher
341,hello guys... reply,greeting
342,i didn't found recharge,more reward options
343,Hi team please let me know when my 500 points will be redeem already 2 weeks completed,voucher
344,ese please send me 500 voucher already 22 days completed please,voucher
345,thank u,thanks
346,I dont have mobile recharge option in rewards how can i get recharge,more reward options
347,i am not getting points when i reach near  shop,checkin
348,hi i redeem 100 bounty points on feb 9 till i didn't get freecharge coupon,voucher
349,I requested for recharge coupon 1 month before but I can't receive until now so I exit from this application I feel bad for this provide me Flipkart coupon Flipkart coupon,voucher
350,hi,greeting
351,still I have not got my gift coupon,voucher
352,hello gud evng.. mam I have already sent 100 nd 500 points still,voucher
353,hi,greeting
354,hi how can I scan qr code,other
355,Bangalore thank you,thanks
356,I had redeemed 100points for flipkart on 15-Feb 2016 But still I haven't received any coupon. nearly one month over when can I expect or still how much time should I wait for it.,voucher
357,hi,greeting
358,hi,greeting
359,"hi I was told that I will receive gift voucher yesterday. but I stil dint receive it still. I had claimed on Feb 15, 2016 when will I get solution for this?",voucher
360,hi,greeting
361,hi Gd envg yes,greeting
362,I don't get the 100 rupee recharge redeem hello ya sure,voucher
363,Hello,greeting
364,Hello,greeting
365,i am not getting bounty notification notification not alerts,checkin
366,Hi,greeting
367,hi,greeting
368,Hi how to use this reward points I saw pen drive how to buy this,other
369,hi,greeting
370,hi u there??? u there???,greeting
371,hello,greeting
372,i had redeemed my 100 bounty in return of flipkart voucher i havent recieved it yet,voucher
373,hello i havent recieved my flipkart voucher yet,voucher
374,hi,greeting
375,i have redeem point on feb 6th dont txt me,voucher
376,k,noclass
377,hiii i redeemed points but i cannot get code from your side please send me as soon as possible https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzUyODE0MTI0MTgxNjA=.png see,voucher
378,ok when you send...?,voucher
379,hi is there anybody https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzUyODAwNTc4NzgxNjE=.png,noclass
380,yq k,noclass
381,Was just exploring the app. Thank You! Was just exploring the app. Thank You!,noclass
382,i am not receiving checkin points,checkin
383,i am,noclass
384,i had redeemed my points in exchange of a 16gb pen drive . it has been more than 2 weeks and still i have not received any kind of reply regarding thta,voucher
385,i need point th help,noclass
386,hello....... hello.... now a days my bounty bell is nt ringing....,checkin
387,hii,greeting
388,No thanks,thanks
389,everytime even if I checkin when I'm online it gives me only two points says come online in 15 mins to get 10 points,points
390,hiii sir https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzUyOTQyMjI1ODgxNjk=.png thank you sir,noclass
391,you are well come,thanks
392,hi,greeting
393,hello very good evening sir actually i redeemed a flipkart coupon on 2nd of feb and freecharge coupon on 15th of feb but till now i didn't get any of the coupons till now,voucher
394,i need to purchase something in flipkart so i need flipkart coupons please kindly accept my request and send me 2 flipkart please kindly accept my request and send me 2 flipkart coupons as soon as possible,voucher
395,hello actually i requested 2 coupons but i got only one,voucher
396,hey I didn't get any rewards points from last 4-5 days are you making fool one of my friend also installed this app,checkin
397,I sent my referral to my friend but I didn't get referrals credits,referral points
398,hi,greeting
399,hello I had sent my reference two of my friends but till now didn't get any one of them reference rewards,referral points
400,hiii,greeting
401,redeemed 100 towards flipcart not received ok saranya ok i request u to add the city of Vijayawada,voucher
402,hello iam not at received the gift card of flipcart which i had already redeem ed . what is this,voucher
403,hello hello,greeting
404,hello,greeting
405,Hi Helloo,greeting
406,I am not getting my gift coupons which I redeemed. good evening can you give amazomn coupon,voucher
407,I got only one coupon.What about the other one which I changed the recharge coupon to amazon coupon.,voucher
408,if u remmbr quite b4... 2 mnths back... bounty was such sn awesome app that had countless restaurants to check in. But now? its hardly 3 to 4 in my place ! wat had happened ? just gonna uninstall this app. Waste of storage space.,checkin
409,hello Meenu here i am waiting for my gift voucher of flipcart still i have nt received i want that voucher today is it possible,voucher
410,hi could u plz help me go get the vouchery i got the information from saranya that i will be getting the voucher today but still i have not received,voucher
411,hi its meenu here still  i have not received my gift voucher of flipcart,voucher
412,hi i hve redeemed rs 100 recharge...and its been month i didnt receive any gift card...so better send me dominos gift card,voucher
413,send me dominos voucher,voucher
414,hi,greeting
415,still I didn't recievr it will come today sure,voucher
416,hi still I didn't receive my coupons ok,voucher
417,This is Rupee hi,greeting
418,hi,greeting
419,Ji Hi I redeem a points of 100 for recharge,voucher
420,hi,greeting
421,hi,greeting
422,hi At what time should I chat with you? At what time should I chat with you?,other
423,in same gps,noclass
424,for me i can see message for my friend blank bit notifications at same time sorry but not bit,checkin
425,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzUyNTY4NjI4NDgwOTE=.png your new app chat has some problems often getting invalid notification,noclass
426,https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzUzNDcxMDg4ODgwOTE=.png,noclass
427,i am not getting points ok let me try if any problem i will come back thank you,checkin
428,snap bill should be uploaded same day ? ok let me send once more copy,snapbill
429,this bill i have scanned it visible? https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzU5NDAzMjcxNjgwOTE=.png those to bill i brought yesterday you said not clear so once again i scanned by printer and uplaoded again,snapbill
430,I dint get my freecharge coupon and flipkart voucher,voucher
431,one more flip kart voucher only I need no need of eBay,voucher
432,I dnt get my recharge voucher,voucher
433,where is my gift card which was redeemed 1 month ago thos sucks ninjas really,voucher
434,I can't see recharge redemption option in the app?,more reward options
435,I have opted for Amazon Rs 100 gift card but yet it is not arrived after 6 days,voucher
436,"hi bounty fine, its ok",greeting
437,good noon... :) since two weeks I'm not receiving bounty check-in points so Wat do I do?? okay thanks,voucher
438,hi,greeting
439,u ppl need more than a month to send a Gv?,voucher
440,hi I have not got my flipkart voucher,voucher
441,I have not got my flipkart voucher till now I have not got my flipkart voucher till now,voucher
442,when will I get,voucher
443,I didn't get the Voucher I have ordered one month before,voucher
444,I havnt received my bookmyshow voucher Please update,voucher
445,Hi,greeting
446,i didnt get points even after referring friend..,referral points
447,Didn't help,noclass
448,hi i am not getting bounty points when i am im in bounty zone,checkin
449,now a days i am not getting bounty points when i am in bounty zone also,checkin
450,i have uploaded bills still I didn't receive points,snapbill
451,hi can i know which bill will be rejected,snapbill
452,hi,greeting
453,hi,greeting
454,hi i am getting two points but nt getting 8 points always u ppl r dng gambling or what,points
455,hi bounty team,greeting
456,is there anyone else,greeting
457,am not got any coupons from Amazon. you can also check revert back the points that freecharge 100 points i already have 105 points if you give that freecharge 100 points then i can choose my own,voucher
458,am not getting the coupons from past 1 month https://dashboard.appsmonk.com/resources/issue_image_upload/MTQ1NzU4ODY4NjcwOTgyMTU=.png,voucher
459,i got 1 Amazon voucher am expecting 1 more voucher from amazon as you said instead of freecharge coupon,voucher
460,ok sure thanks to the team,thanks
461,hi ok,greeting
462,i am in Bangalore,noclass
463,hi u there,greeting
464,hai ok,greeting
